1 € en yens;DELTA [-30,30];DELTA [-1,1]
120.15;-1.99;-0.066333333
120.68;0.53;0.017666667
118.29;-2.39;-0.079666667
124.11;5.82;0.194
124.58;0.47;0.015666667
129.53;4.95;0.165
129.77;0.24;0.008
131.92;2.15;0.071666667
132.76;0.84;0.028
132.45;-0.31;-0.010333333
133.64;1.19;0.039666667
135.31;1.67;0.055666667
133.14;-2.17;-0.072333333
130.86;-2.28;-0.076
132.16;1.3;0.043333333
129.49;-2.67;-0.089
128.53;-0.96;-0.032
130.26;1.73;0.057666667
128.2;-2.06;-0.068666667
130.62;2.42;0.080666667
129.57;-1.05;-0.035
128.79;-0.78;-0.026
127.88;-0.91;-0.030333333
124.37;-3.51;-0.117
125.38;1.01;0.033666667
125.63;0.25;0.008333333
125.44;-0.19;-0.006333333
122.95;-2.49;-0.083
122.12;-0.83;-0.027666667
121.35;-0.77;-0.025666667
118.18;-3.17;-0.105666667
118.23;0.05;0.001666667
119.55;1.32;0.044
120.34;0.79;0.026333333
121.24;0.9;0.03
121.36;0.12;0.004
120.03;-1.33;-0.044333333
118.84;-1.19;-0.039666667
116.97;-1.87;-0.062333333
117;0.03;0.001
121.09;4.09;0.136333333
122.38;1.29;0.043
125.47;3.09;0.103
124.48;-0.99;-0.033
123.89;-0.59;-0.019666667
123.67;-0.22;-0.007333333
126.28;2.61;0.087
126.33;0.05;0.001666667
127.55;1.22;0.040666667
129.41;1.86;0.062
130.49;1.08;0.036
132.64;2.15;0.071666667
132.62;-0.02;-0.000666667
130.35;-2.27;-0.075666667
129.33;-1.02;-0.034
129.63;0.3;0.01
131.26;1.63;0.054333333
130.04;-1.22;-0.040666667
128.8;-1.24;-0.041333333
129.97;1.17;0.039
130.54;0.57;0.019
130.9;0.36;0.012
136.61;5.71;0.190333333
136.35;-0.26;-0.008666667
141.55;5.2;0.173333333
139;-2.55;-0.085
136.96;-2.04;-0.068
141.57;4.61;0.153666667
144.8;3.23;0.107666667
145;0.2;0.006666667
142.82;-2.18;-0.072666667
140.58;-2.24;-0.074666667
142.49;1.91;0.063666667
143.01;0.52;0.017333333
146.51;3.5;0.116666667
148.94;2.43;0.081
153.15;4.21;0.140333333
155.98;2.83;0.094333333
157.94;1.96;0.065333333
157.8;-0.14;-0.004666667
158.09;0.29;0.009666667
161.81;3.72;0.124
157.21;-4.6;-0.153333333
159.44;2.23;0.074333333
161.44;2;0.066666667
162.77;1.33;0.044333333
165.03;2.26;0.075333333
168.54;3.51;0.117
169.97;1.43;0.047666667
170.82;0.85;0.028333333
161.06;-9.76;-0.325333333
159.09;-1.97;-0.065666667
163.29;4.2;0.14
163.23;-0.06;-0.002
161.08;-2.15;-0.071666667
